,benefits
712," a hearty, delicious meal with a finely ground texture that’s tailored to a small dog’s needs , specially formulated for small dogs, little pups need more protein to keep them going strong all day, and this dish is packed with it , features a full range of amino acids, vitamins and minerals to meet his unique nutritional needs , formulated to meet the nutritional levels established by the association of american feed control officials (aafco) dog food nutrient profiles , made without any added artificial preservatives "
713," gourmet, natural canned dog food with a delicious recipe featuring real shreds of chicken breast mixed into a pate of lamb , all of weruva's dog food formulas are formulated with the carnivore in mind, so this recipe focuses on high quality protein, minimal carbs and a high moisture content for the most nutritious meal around for your pup. , recipe is grain-free, gluten-free, starch free and contain no carrageenan, so it's ideal for any pups with sensitive tummies or allergies , contains added vitamins and minerals to make this delicious food a complete and balanced diet , suitable for all life stages, can be served as a standalone diet or as a yummy topper for dry food "
714," uses only quality ingredients in all our formulas to provide healthy, balanced levels of protein, fat, and nutrients for adult dogs , naturally preserved with mixed tocopherols to ensure freshness and palatability , antioxidant nutrients are added to help support a healthy immune system and overall wellness , avocado is known for being rich in omega 3 and omega 6, which benefits the skin &amp; coat , formulated without corn, wheat or soy "
715," loaded with real meat and a great taste your dog will love , healthy, grain-free, all natural diets with no artificial flavors or colors , balanced nutrition for dogs of all ages and sizes , pre and probiotics as well as oligofructose to help maintain a healthy digestive system , wholesome vegetables like sweet potato for a natural source of fiber and cranberries helps support urinary tract "
716," made with turkey, chicken, pheasant and quail as the top ingredients to satisfy your pup’s true instincts for game protein. , formulated with vitamins, minerals and antioxidants for immune health and overall well-being. , nutrient-dense formula provides a balanced and complete diet for adult dogs of all breeds. , perfect to give on its own or as a delicious kibble topper that’s great for picky eaters. , crafted in usa facilities with no corn, soy, or wheat and comes in an easy-to-open can. "
717," made with real venison bits in delectable juices in every easy-peel tray. , deliciously savory venison flavor that most dogs find lip-smackingly irresistible. , perfect as a wholesome meal, deliciously savory meal topper, or a healthy snack. , enhanced with added vitamins and minerals for a healthy, balanced diet. , contains no corn, wheat, soy, by-products, fillers, artificial colors or flavors. "
718," specially designed for small breeds, this highly palatable recipe will have your pup begging for more. , features protein from duck and chicken to give your pooch the energy he needs to be active. , designed to help digestibility, reduce shedding, promote a shinier coat, increase energy, strengthen nails and support healthier skin. , made without any corn, wheat, soy, by-products, artificial colors or preservatives, for a grain-free recipe you can trust. , proudly made in the usa from the earth’s best ingredients. "
719," made with high-quality ingredients, including real beef plus hearty vegetables and rice. , meaty, home-style recipe has a hearty texture that delivers complete and balanced nourishment. , optimal levels of oil and minerals nourish the skin and coat for a luxurious shine. , soft texture adds flavor and variety to dog’s diets. serve it alone or mix it with kibble. , proudly made in the usa with the flavors dogs crave and the nutrition they need. "
720," uses only quality ingredients in all our formulas to provide healthy, balanced levels of protein, fat, and nutrients for adult dogs , naturally preserved with mixed tocopherols to ensure freshness and palatability , antioxidant nutrients are added to help support a healthy immune system and overall wellness , avocado is known for being rich in omega 3 and omega 6, which benefits the skin &amp; coat , formulated without corn, wheat or soy "
721," a naturally grain-free recipe , contains pure protein and vitamin a for vision health , gives your dog the vital antioxidants he needs , easy-open cups makes plating exciting for dogs , no wheat, corn or soy fillers "
722," premium 95% meat pet foods designed to mimic the archetypal, natural eating patterns of our carnivorous companion animals , one of the few natural canned pet diets on the market that is truly genetically appropriate , devoid of all the modern conventional pet food filler ingredients and additives, including starch ingredients , use as a supplement to wysong dry diets , suitable for dogs, cats &amp; ferrets "
723," rich in omega-3 and vitamin e for a healthy skin and coat, king salmon is as nutritious as it is delectable! , this hypoallergenic formula is designed as a low allergy and healthier alternative to diets made from chicken, beef or lamb , lovingly prepared with hoki, a prized new zealand fish, as well as a medley of lemons and oranges, your dog will surely enjoy this gourmet recipe! , hypoallergenic formula makes it the perfect dish for dogs with sensitivities , very lean and low in cholesterol which is perfect for overweight or older dogs "
724," farm-grown fresh-milled proteins are some of the first listed ingredients. , this product is perfect for all life stages. puppies, adult and senior dogs will thrive on this by-product free food. contains taurine for healthy eyes and heart. , provides all the vitamins, minerals and other essential nutrients that your pup will need to stay healthy. specially formulated to be a complete and balanced diet that your pet will love! , prepared with some of the best ingredients around! there are no artificial flavors, colors, preservative, sweeteners or sugars. , made to quality standards here in the usa! "
725," deliciously made with finely chopped ingredients you can actually see like chicken, carrots, peas, and wild rice. , provides a complete and balanced diet for dogs of all breeds and ages, even puppies. , enhanced with essential vitamins and minerals to provide all the nutrients your dog needs to stay healthy. , can be given as a meal on its own or used to top dry kibble to delight even the pickiest pups. , convenient freshness-sealed containers with lids are perfect for portion control and can be reused with no messes. "
726," made with high-quality ingredients, including real chicken plus hearty vegetables. , meaty, home-style recipe has a hearty texture that delivers complete and balanced nourishment. , optimal levels of oil and minerals nourish the skin and coat for a luxurious shine. , soft texture adds flavor and variety to dog’s diets. serve it alone or mix it with kibble. , proudly made in the usa with the flavors dogs crave and the nutrition they need. "
727," produced with fresh top-quality poultry, seafood and meats, which provides a healthy source of protein for your pet , also use fresh fruits and vegetables such as blueberries, cranberries, zucchini and artichoke to name a few, which are a great source of antioxidants, fiber, vitamins and folic acid , formulated to promote clean nutrition and protection for your pets from exposure to toxins and unhealthy ingredients , made with organic beef, fruits, vegetables, vitamins &amp; minerals for overall wellbeing , no artificial preservatives, colors, flavors, corn, wheat, or soy and made with simple &amp; essential ingredients "
728," chunks of premium lamb with antioxidant-rich fruits and veggies , made with antioxidant-rich fruits &amp; veggies to support overall health and wellness , features pumpkin and prebiotics for healthy digestion , made without any grains, corn, wheat, soy, artificial colors, flavors or preservatives , chelated minerals for better nutrient absorption "
729," formulated for small dogs with high-protein chicken, beef and smoked bacon in savory juices for a taste and texture dogs find irresistible. , super premium wet dog food is loaded with immune-boosting antioxidants, muscle-nourishing protein, vitamins and minerals. , provides a 100% complete and balanced diet for adult small breeds, and is higher in nutrients for small dogs’ higher metabolisms. , single-serve, easy-to-open trays make mealtime a cinch and can be given on their own or as a delicious meal topper for kibble. , produced in usa facilities with careful safety and quality checks to guarantee the best ingredients for your pampered pooch. "
730," low grain, zero carb gourmet dog food made with ahi tuna loins, brown rice, carrots, chopped whole scrambled egg, baby prawns and other nutritious whole food ingredients , ahi tuna consommé is great for adding extra moisture to your dog's diet and helps mimic a biologically appropriate diet , starch and flour free, zero glycemic index , high in protein and suitable for all life stages , ahi tuna is highly palatable, rich in essential omega fatty acids, and beneficial for dogs suffering protein allergies, also helps with skin and coat repair "
731," a grain-free formula that's suitable for all life stages , first and primary ingredient is a single source of organic protein , this formula is highly palatable and digestible , no artificial flavors, colors, preservatives, corn or wheat , certified by oregon tilth for a wholesome meal any pup would enjoy "
732," natural grain-free canned dog food recipe made with real turkey &amp; sweet potato with no meat by-products, artificial colors or flavors added , formula contains added vitamins and minerals to make this a complete and balanced meal for adult dogs with all the nutrition they need for a happy lifestyle , contains an optimal balance of protein, fat and carbohydrates , recipe contains premium, wholesome ingredients that are sure to make your dog wag their tail with delight at mealtime , made in the usa! "
733," this grain and gluten-free, limited ingredient food is crafted from only 5 ingredients. it's prefect for pets that have sensitivities or allergies to common foods. , it's highly palatable and packed with quality ingredients like quinoa and blueberries for an antioxidant boost. it doesn't contain gums, binders, or fillers, so you can feel confident about feeding your loved one. , perfect to add to a raw diet, or top a dry kibble with. tripe helps to promote cleaner teeth, a healthy, lustrous skin and coat, and can help put a spring back in your elderly dog's step. , a great option for those picky eaters who get bored easily. adding a little bit of petkind's lamb tripe introduces a new protein to your pup's diet and helps switch things up. , made in the usa! "
734," highly palatable, veterinary exclusive canned diet that provides complete and balanced nutrition for healthy development in puppies , formulated with a specific nutrient blend to help regulate intestinal transit and to help support the intestinal microflora , promotes appetite satisfaction with a selection and formulation of exclusive, natural flavors to help guarantee exceptional palatability , inclusion of several key nutrients reinforce the coat’s natural beauty and help protect puppy's delicate skin , contains a synergistic antioxidant blend of vitamin c, vitamin e, lutein and taurine to support immune health "
735," combo pack includes two delicious recipes with beef or lamb morsels in a savory veggie stew. , made with real beef or lamb as the first ingredient with a hearty blend of fruits and vegetables. , provides a complete and balanced diet for dogs of all ages and enhanced with vitamins, minerals, amino acids, and salmon oil. , each can is a complete meal on its own or a delectable dry food topper for picky eaters. , made in the usa with no grain, gluten, wheat, soy, carrageenan, or artificial flavors, colors or preservatives. "
736," fruits, vegetables and grains provide soluble fiber to help maintain a healthy digestive system , increased calories are great for dogs recovering from illness or injury who need to gain back lost weight , omega 3 and 6 fatty acids contribute to healthy skin and luxurious coat, and calcium and phosphorus ratio helps support healthy bones and teeth , include minimally processed fruits and vegetables that provide a source of antioxidants and vitamins , made in an organically certified kitchen without corn, wheat, soy, artificial colors or preservatives with probiotics to support digestion "
737," specially designed for small breeds, this highly palatable recipe will have your pup begging for more. , features protein from chicken to give your pooch the energy he needs to be active. , designed to help digestibility, reduce shedding, promote a shinier coat, increase energy, strengthen nails and support healthier skin. , made without any corn, wheat, soy, by-products, artificial colors or preservatives, for a grain-free recipe you can trust. , proudly made in the usa from the earth’s best ingredients. "
738," grain-free formula loaded with real meat and a great taste your dog will love , developed without artificial flavors or colors for a wholesome formula you can trust , healthy and natural with added vitamins and minerals such as calcium, vitamin e, vitamin b12, and so much more , proudly made in utah and formulated to meet the nutritional levels established by aafco for dogs of all life stages , made with superfoods sweet potato and quinoa for optimal health benefits to keep your dog happy and healthy from puppy to senior "
739," real turkey is the #1 ingredient in this natural food with added vitamins and chelated minerals that are better absorbed by the body. , it's complete and balanced nutrition that's formulated for adult dogs. multiple proteins help give this wet food a delicious flavor your pups will love! , multiple proteins, like turkey, chicken liver, lamb, and ocean fish help give this wet food a delicious flavor your pups will love! , there's no corn, wheat, soy or meat by-products so you can feel confident in feeding your pet. , made in the usa! "
740," chicken is the first listed ingredient. made with your pet's wellbeing in mind, this product is produced with no by-products. give your pet the best she deserves!  , this product is perfect for all life stages. puppies adult and senior dogs will thrive on this by-product free food. contains taurine for healthy eyes and heart. , provides all the vitamins, minerals and other essential nutrients that your pup will need to stay healthy. specially formulated to be a complete and balanced diet that your pet will love! , prepared with some of the best ingredients around! there are no artificial flavors, colors, preservative, sweeteners or sugars. , made to quality standards here in the usa! "
741," high-protein, paleo-friendly formula with beef as the first ingredient to help build and maintain strong muscles. , provides a complete and balanced diet as a meal on its own or when mixed into your pal’s kibble. , with a precise blend of vitamins, minerals and essential amino acids to support overall health in adult dogs. , includes antioxidant-rich sweet potatoes and apples in a savory gravy for a boost of tasty goodness in every bite. , made in the usa with no corn, thickening agents, wheat, soy or artificial flavors or preservatives. "
742," great for sensitive pets and provides a wholesome and nutritious meal , hearty stew with tons of fish creates a nutritious stew that’s cooked just for your dog , filled with vitamins and minerals delivering healthy food at a great value , no corn, wheat, soy or gluten, which means this wholesome meal is easier on the tummy and filled with more tasty meat , recipe combines mouthwatering salmon and combines peas, sweet potatoes and tomatoes to create a nutritious seafood dinner cooked just for your dog "
743," formulated to feature premium nutrition so that your dog can stay happy, healthy, and well , slow cooked to lock in all of the natural goodness and flavor without losing any of the nutrients , features antioxidants such as zinc, vitamin e, and selenium to help promote overall health &amp; vigor , antioxidants to promote a healthy immune system and overall health , omega fatty acids help promote a healthy and shiny coat "
744," 100% grain free, complete and balanced everyday nutrition , delicious pate with chunks of lamb and turkey in the center , two mouthwatering textures in every bite , natural recipe with protein-rich nutrition , convenient, easy-open, ready-to-serve container makes mealtime quick and easy "
745," grain and gluten-free dinner featuring whole sardines placed into the can by hand, served in a delectable gravy with peas and carrots , no corn, wheat or soy , contains softened bones that have been specially slow cooked to make them safe, edible and digestible , natural source of omega 3 &amp; 6 fatty acids to help nourish your pet's skin &amp; coat , ideal for all life stages and made in the usa! "
746," increased calories are great for dogs recovering from illness or injury who need to gain back lost weight , usda certified organic formula includes minimally processed fruits and vegetables that provide a source of antioxidants and vitamins , omega 3 and 6 fatty acids contribute to healthy skin and luxurious coat, and calcium and phosphorus ratio helps support healthy bones and teeth , hand crafted in small batches with fruits, vegetables and grains provide soluble fiber to help maintain a healthy digestive system , made in a certified organic kitchen without corn, wheat, soy, artificial colors or preservatives with probiotics to support digestion "
747," formulated to feature premium nutrition so that your dog can stay happy, healthy, and well , slow cooked to lock in all of the natural goodness and flavor without losing any of the nutrients , features antioxidants such as zinc, vitamin e, and selenium to help promote overall health &amp; vigor , antioxidants to promote a healthy immune system and overall health , omega fatty acids help promote a healthy and shiny coat "
748," produced with fresh top-quality poultry, seafood and meats, which provides a healthy source of protein for your pet , also use fresh fruits and vegetables such as blueberries, cranberries, zucchini and artichoke to name a few, which are a great source of antioxidants, fiber, vitamins and folic acid , formulated to promote clean nutrition and protection for your pets from exposure to toxins and unhealthy ingredients , made with organic beef, fruits, vegetables, vitamins &amp; minerals for overall wellbeing , no artificial preservatives, colors, flavors, corn, wheat, or soy and made with simple &amp; essential ingredients "
749," prepared in small batches with carefully selected, 100% holistic ingredients , features carefully selected chicken, veggies &amp; fruit , formulated with high quality protein for strong muscles and a healthy heart &amp; fiber-rich vegetables and fruit for digestive health , no wheat, gluten, corn, soy, artificial preservatives, flavors, colors or by-products , omega 3 and 6 fatty acids for healthy skin and a shiny coat "
750," made with the wholesome components of chicken and vegetables in a mouth-watering sauce , included minerals and vitamins help guarantee that your pet obtains the wholesome nourishment it needs , feel confident feeding this superior natural food with a delicious natural flavor , healthy, balanced meal for everyday feeding , made in the usa! "
751," made from pacific northwest salmon , 100% animal protein, this diet is an ancestrally appropriate carnivore diet , free of soy, grains and glutens, no artificial preservatives, colors or flavors , wholesome animal protein with no added carbohydrates , single protein source fortified with vitamins and minerals "
752," a delicious recipe that provides complete and balanced nutrition for all life stages , gluten-free and grain-free, with no rendered animal fats or by-products, no added sugar, no carrageenan, and no corn, wheat, or soy , super palatable: your pup will go crazy for the taste and texture of this chunky, hearty stew , fortified with vitamins, minerals, rich fruits and vegetables, this recipe provides essential moisture to prevent dehydration and help maintain proper urinary tract health , convenient, easy to open pull-tab can makes meal time quick and easy "
753," a naturally grain-free recipe , contains pure protein, fiber and vitamins , gives your dog the vital antioxidants he needs , easy-open cups makes plating exciting for dogs , no wheat, corn or soy fillers "
754," wholesome ingredients with added vitamins and minerals , no meat by-products , real chicken is the #1 ingredient , no corn, wheat or soy , complete and balanced for adult dogs "
755," first ingredient is fresh-caught north american salmon for an excellent source of protein. , lentils provide a gluten-free source of nutrients, while garden-grown vegetables, including carrots, peas and sweet potatoes, add even more essential nutrients and fiber. , the convenient tub with a resealable lid makes this an ideal option for feeding while traveling or simply on-the-go. , the complete nutrition in this savory stew makes it perfect to serve as a meal or an enticing topper over dry kibble. , provides your best friend with the best ingredients the earth has to offer, so you can feed her with the same level of quality that you feed the rest of your family. "
756," high-quality cuisine that provides unparalleled variety and enjoyment. , pate in sauce formula provides complete and balanced nutrition formulated for adult dogs. , fortified with vitamins and minerals to help dogs of all sizes, especially small breeds, to stay healthy. , savory dog food is served in convenient trays with easy, peel-away freshness seals. , features delectable turkey, spinach, and cheese flavors for dogs with refined tastes at any time of day. "
757," food supplement that is perfect for pets with common protein allergies , it’s made with a single, novel protein source with a total of only four ingredients , can be fed as a unique treat or added to your pet’s dry food as an irresistible topper , canine caviar 97% salmon is cold processed to give your pup the best nutritional value and makes an easy-to-feed raw alternative , it’s full of omega fatty acids for skin and coat health and has no grains, fillers, added sugar, added salt, or artificial colors or preservatives "
758," produced with fresh top-quality poultry, seafood and meats, which provides a healthy source of protein for your pet , also use fresh fruits and vegetables such as blueberries, cranberries, zucchini and artichoke to name a few, which are a great source of antioxidants, fiber, vitamins and folic acid , formulated to promote clean nutrition and protection for your pets from exposure to toxins and unhealthy ingredients , made with organic beef, fruits, vegetables, vitamins &amp; minerals for overall wellbeing , no artificial preservatives, colors, flavors, corn, wheat, or soy and made with simple &amp; essential ingredients "
759," high-quality turkey is the #1 ingredient in this complete and balanced adult food with added vitamins and minerals. the chunky stew and highly palatable gravy will tempt any picky eaters. , there's no grains, glutens, corn, wheat, or soy, so it's great for pet parents who are concerned with allergies, obesity, or digestibility. , added superfoods support your pet's overall health like dandelion greens which help with digestion and salmon oil that supports healthy skin and coat. , absolutely no carrageenan, artificial colors, flavors, or preservatives, no you can be confident you're feeding your pup the best. , made in the usa! "
760," a grain-free formula that's suitable for all life stages , first and primary ingredient is an organic protein source , this formula is highly palatable and digestible , no artificial flavors, colors, preservatives, corn or wheat , certified by oregon tilth for a wholesome meal any pup would enjoy "
761," gourmet, natural canned dog food with a delicious recipe featuring a yummy paella mix of mackerel flakes and pumpkin , all of weruva's dog food formulas are formulated with the carnivore in mind, so this recipe focuses on high quality protein, minimal carbs and a high moisture content for the most nutritious meal around for your pup. , recipe is grain-free &amp; gluten-free, so it's ideal for any pups with sensitive tummies or allergies , contains added vitamins and minerals to make this delicious food a complete and balanced diet , suitable for all life stages, can be served as a standalone diet or as a yummy topper for dry food "
762," uses only quality ingredients in all our formulas to provide healthy, balanced levels of protein, fat, and nutrients for adult dogs , naturally preserved with mixed tocopherols to ensure freshness and palatability , antioxidant nutrients are added to help support a healthy immune system and overall wellness , avocado is known for being rich in omega 3 and omega 6, which benefits the skin &amp; coat , formulated without corn, wheat or soy "
763," made from high-quality lamb, chicken and salmon , fortified with vitamins and minerals, also grain free, ideal for dogs with food sensitivities , free of soy, grains and glutens, no artificial preservatives, colors or flavors , lamb is the first ingredient and is an excellent source of high quality protein, promoting lean muscle mass and body conditioning , wholesome meat with no added carbohydrates, even the most picky dog will enjoy this carnivorous diet "
764," features duck as the first ingredient for quality protein, plus turkey and turkey liver. , a bounty of farm-grown ingredients are added and then slow-cooked in broth. , potato and grain-free recipe is also made without corn, wheat or soy. , vitamins and minerals round out the complete and balanced nutrition. , made in the usa with uncompromising quality by the family-owned company. "
765," 100% complete and balanced diet made with real ocean whitefish is specifically formulated to support a healthy, active lifestyle for adult dogs , tasty, nutrient-rich meals featured in convenient, resealable tubs making feeding time fun for you and your furry friend , powerful antioxidants support a strong immune system and optimal protein and fat levels help to promote an ideal body composition , omega-6 fatty acids are included to maintain healthy skin and a beautiful shiny coat , proudly manufactured in purina-owned u.s.a facilities and does not contain any added artificial colors, flavors, or preservatives "
766," the original wet dog food designed specifically to mix with any dry dog food. , comes in easy-to-use, single-serving pouches. just rip off the top and pour it over the dry food! , variety pack of delectable flavors will encourage picky eaters to chow down. , quality, all-natural recipe with added vitamins and minerals support a healthy diet. , prepared with pride in the usa with no artificial flavor or preservatives. "
767," holistic grain and gluten free wet dog food ideal for puppies and adult dogs , suited for small and medium breeds , formulated with sweet potatoes, high in fiber to support proper digestion and your dog's overall health , highly palatable option for selective eaters , nutritionally complete and balanced meal "
768," high-quality chicken is the #1 ingredient in this complete and balanced adult food with added vitamins and minerals. the chunky stew and highly palatable gravy will tempt any picky eaters. , there's no grains, glutens, corn, wheat, or soy, so it's great for pet parents who are concerned with allergies, obesity, or digestibility. , added superfoods support your pet's overall health like dandelion greens which aid with digestion. , absolutely no carrageenan, artificial colors, flavors, or preservatives, no you can be confident you're feeding your pup the best. , made in the usa! "
769," grain and gluten-free complete and balanced dinner for dogs featuring moist chicken mixed with market-fresh carrots, peas, apples and potatoes your dog is sure to gobble up with delight , no corn, wheat or soy , made with fresh, natural, premium-quality ingredients , certified kosher for passover by the crc , suitable for all life stages and made in the usa! "
770," features hearty cuts of real meat in gravy for an irresistible taste of lamb and vegetables. , balanced recipe provides complete nutrition and is highly digestible for easy nutrient absorption. , optimal levels of oil and minerals nourish the skin and coat for a luxurious shine. , soft texture adds flavor and variety to dog’s diets. serve it alone or mix it with kibble. , proudly made in the usa with the flavors dogs crave and the nutrition they need. "
771," natural canned dog food recipe made with real chicken &amp; vegetables, with no meat by-products, artificial colors or flavors added , formula contains added vitamins and minerals to make this a complete and balanced meal for adult dogs with all the nutrition they need for a happy lifestyle , contains an optimal balance of protein, fat and carbohydrates , recipe contains premium, wholesome ingredients that are sure to make your dog wag their tail with delight at mealtime , made in the usa! "
772," evanger's slow cooked beef stew is formulated to meet the nutritional levels established by the aafco nutrient profiles for all life stages. this product features succulent cuts of real meat simmered with farm fresh vegetables. , this product is certified organic by oregon tilth. this ensures that your pet is getting a quality food that is made with all natural ingredients. , not only does this product offer your pet a variety in taste, this gourmet dinner offers the additional nutritional benefits your pet needs. natural vitamins and minerals are blended with the all-natural meats for ultimate nutrition that are completely balanced meals for all life stages, ages, and breeds. , evanger’s cans are packed with natural, raw ingredients in their own natural juices. the ingredients are then cooked entirely inside the sealed can to lock in the nutrients and flavor of each variety. this process assures both wholesome nutrition for long life and good health, plus the great taste your dog and cat will love. naturally the best! , all evanger’s foods are made with premium-quality, highly-palatable and nutritious ingredients that will satisfy even the most finicky eater. with no soy, corn, wheat, artificial ingredients, harmful additives, preservatives or by-products, evanger’s canned meals are a perfect option for pets that have food sensitivities. "
773," delicious formula with added essential vitamins and minerals, 100% complete and balanced nutrition , hearty portions of real pieces of potatoes, peas, carrots, blueberries, apples, spinach, cranberries, brown rice, and flaxseed , ideal for dogs sensitive to grains also includes l-carnitine, a nutritional supplement that helps support lean body condition by releasing energy from fat , omega-6 and omega-3 fatty acids that contribute to healthy skin and a luxurious coat , natural products contain no corn, wheat, soy, artificial colors or preservatives "
774," delicious limited ingredient french-inspired recipe , made with tasty chicken, turkey, chicken liver and peas , it’s a savory dish that is simmered in chicken broth and packed with nutrients , mouthwatering meal comes in a single-serving cup to ensure that your petite pup gets the right serving amount for his size , proudly made in the usa "
775," uses only quality ingredients in all our formulas to provide healthy, balanced levels of protein, fat, and nutrients for adult dogs , naturally preserved with mixed tocopherols to ensure freshness and palatability , antioxidant nutrients are added to help support a healthy immune system and overall wellness , avocado is known for being rich in omega 3 and omega 6, which benefits the skin &amp; coat , formulated without corn, wheat or soy "
776," natural formula with added essential vitamins and minerals , hearty portions of all-beef sausage, sweet potatoes and other vegetables , ideal for dogs sensitive to grains with a great way to add new flavors to your dog’s diet , tested throughout the production process to ensure quality and safety at least 3 times throughout production , natural products contain no corn, wheat, soy, artificial colors or preservatives "
777," made from high-quality pork , 100% animal protein, absolutely no plant protein , free of soy, grains and glutens, no artificial preservatives, colors or flavors , single protein source fortified with vitamins and minerals , wholesome meat with no added carbohydrates, even the most picky dog will enjoy this carnivorous diet "
778," chicken is the first listed ingredient. made with your pet's wellbeing in mind, this product is produced with no by-products. give your pet the best she deserves!  , this product is perfect for all life stages. puppies adult and senior dogs will thrive on this by-product free food. contains taurine for healthy eyes and heart. , provides all the vitamins, minerals and other essential nutrients that your pup will need to stay healthy. specially formulated to be a complete and balanced diet that your pet will love! , prepared with some of the best ingredients around! there are no artificial flavors, colors, preservative, sweeteners or sugars. , made to quality standards here in the usa! "
779," pasture-raised lamb, a highly digestible protein, is the number one ingredient and a great alternative for dogs with sensitivities to chicken or beef. , wholesome barley provides fiber, while garden-grown vegetables, including carrots, peas and sweet potatoes, add even more essential nutrients and fiber. , the convenient tub with a resealable lid makes this an ideal option for feeding while traveling or simply on-the-go. , the complete nutrition in this savory stew makes it perfect to serve as a meal or an enticing topper over dry kibble. , provides your best friend with the best ingredients the earth has to offer, so you can feed her with the same level of quality that you feed the rest of your family. "
780," 100% single-sourced lamb is free-range and grass-fed on ethical and sustainable new zealand farms; cold-washed green tripe helps aid in digestion and palatability. , includes 3% new zealand green mussels, which are a natural source of chondroitin and glucosamine and supports joint health. , complete and balanced, limited ingredient formula includes 92% fresh meat, organs, bones and green mussels. , made as a chunky loaf style, with a high level of all-natural protein and moisture to entice even the pickiest eater. , never includes grains, rice, corn, soy, potatoes, wheat, fillers, sugars, glycerins, rendered meals, preservatives, tspp, bpa, guar gum, agar agar or carrageenan. "
781," a naturally grain-free recipe , contains pure protein and antioxidant-rich superfoods , gives your dog the vital antioxidants he needs , easy-open cups makes plating exciting for dogs , no wheat, corn or soy fillers "
782," premium 95% meat pet foods designed to mimic the archetypal, natural eating patterns of our carnivorous companion animals , one of the few natural canned pet diets on the market that is truly genetically appropriate , devoid of all the modern conventional pet food filler ingredients and additives, including starch ingredients , use as a supplement to wysong dry diets , suitable for dogs, cats &amp; ferrets "
783," this delicious dinner is full of tender, seared-style chunks of meat cooked to perfection and simmered in a mouthwatering gravy , specially formulated for small dogs, little pups need more protein to keep them going strong all day, and this dish is packed with it , features a full range of amino acids, vitamins and minerals to meet his unique nutritional needs , formulated to meet the nutritional levels established by the association of american feed control officials (aafco) dog food nutrient profiles for growth of puppies and maintenance of adult dogs , made without any added artificial preservatives "
784," lotus creates their hearty stews in small batches using only the freshest, most natural ingredients and no processing aids like carrageenan, guar gum or xanthan gum , each recipe is made in small batches with local ingredients in sunny california , our wholesome dog food is formulated with omega fatty acids to promote healthy skin and a soft coat , made with high-quality animal proteins plus vitamins and minerals , contains vitamin e to support a strong immune system "
785," this grain and gluten-free, limited ingredient food is crafted from only 5 ingredients. it's prefect for pets that have sensitivities or allergies to common foods. , it's highly palatable and packed with quality ingredients like quinoa and blueberries for an antioxidant boost. it doesn't contain gums, binders, or fillers, so you can feel confident about feeding your loved one. , perfect to add to a raw diet, or top a dry kibble with. tripe helps to promote cleaner teeth, a healthy, lustrous skin and coat, and can help put a spring back in your elderly dog's step. , a great option for those picky eaters who get bored easily. adding a little bit of petkind's venison tripe introduces a new protein to your pup's diet and helps switch things up. , made in the usa! "
786," real pieces of minimally processed fruits and vegetables provide a natural source of antioxidants, vitamins, and trace nutrients , hearty portions of natural duck, venison, green beans and wild rice for optimal nutrition and great taste , rich in antioxidants and essential fatty acids with no artificial colors, flavors or preservatives , natural formula with added essential vitamins and minerals with omega 3 and 6 fatty acids that contribute to healthy skin and a luxurious coat , a balanced calcium to phosphorous ratio that helps promote healthy bones and teeth "
787," this complete and balanced dog food with added vitamins and minerals has been formulated for growth and maintenance of puppies and adult dogs. made with quality protein like real beef and vegetables for a taste your pup will love. , it's grain-free and there's no corn, wheat, or soy, so a it's a perfect option for pet parents who are concerned about allergies, obesity, and digestibility.  , chelated minerals are included which are more easily absorbed by the body and provide the correct balance of daily mineral requirements. added rosemary and turmeric, which are natural antioxidants, help to fight free radicals in the body. , included chamomile, dandelion, and peppermint are natural digestive aids and cranberries and blueberries provide a natural source of antioxidants to promote health and vitality. , made in the usa! "
788," formulated for small dogs with chunky ingredients you can actually see like salmon, carrots, tomatoes, and wild rice in gravy. , provides a tasty, complete and balanced diet for dogs of all ages, even puppies. , enhanced with essential vitamins and minerals to provide all the nutrients your pal needs to stay healthy. , can be given as a meal on its own or used to top dry kibble to delight even the pickiest pups. , comes in easy open pull-tab cans to make mealtime easy, mess-free, and hassle-free. "
789," high-quality cuisine that provides unparalleled variety and enjoyment. , pate in sauce formula provides complete and balanced nutrition formulated for adult dogs. , fortified with vitamins and minerals to help dogs of all sizes, especially small breeds, stay healthy. , savory dog food is served in convenient trays with easy, peel-away freshness seals. , features delectable beef stew and veggie flavors for dogs with refined tastes at any time of day. "
790," great for sensitive pets and provides a wholesome and nutritious meal , hearty stew with tons of beef creates a nutritious stew that’s cooked just for your dog , filled with vitamins and minerals delivering healthy food at a great value , no corn, wheat, soy or gluten, which means this wholesome meal is easier on the tummy and filled with more tasty meat , recipe combines mouthwatering savory beef and combines potatoes, green beans, carrots and peas to create a nutritious dinner cooked just for your dog "
791," unique, 10 oz easy-open can is perfect for picky dogs or dogs who need a little less than standard. this delicious recipe features fresh, high-quality chicken breast and wild caught salmon in a savory au jus , all of weruva's dogs in the kitchen formulas focus on high quality protein and moderate fat for a nutritious meal your pup is sure to love , recipe contains no grains, starch, msg, gluten or carrageenan so it's ideal for any pups with sensitive tummies or allergies , contains added vitamins and minerals to make this delicious food a complete and balanced diet , suitable for all life stages, can be served as a standalone diet or as a yummy topper for dry food "
792," a naturally grain-free recipe , contains pure protein and vitamin a for vision health , gives your dog the vital antioxidants he needs , easy-open cups makes plating exciting for dogs , no wheat, corn or soy fillers "
