pos_review_title,pos_review_content,itemnumber,neg_review_content,maker,neg_review_title
My dogs love this food and their vets love the results.,"I have fed the dry and matching canned lamb and brown rice to a poodle/terrior, 2 mixed schnauzers, a dalmatian, and a pure bred schnauzer. All have thrived and had bright shiney coats and the have been healthy ( except for a non-related food problem with the pure schnauzer). As the old saying goes, ",86738,Been using Nurto adult savory lamb & rice recipe for years.  Currently 2 out of 3 of my puppies and 1 prior puppy have/had food allergies.  All could eat that food.  Since it has been reformated into kitchen classics I can't find a single canned food that all three can eat.,By Nutro,Reformulated disaster
Picky dog loves flavor,My very selective GSD mix loves this food. I usually have to buy individual cans of different flavors/varities but he's really taken to this brand and flavor. I'm impressed with the high quality ingredients too.,73957,"Although this looks and smells pretty good to me, my little fur babies are just too spoiled. 
I usually buy a different brand for them - which they love- but was trying to find another less expensive variety for them.  I will just have to keep getting the other one we found here on Chewy!",By Whole Earth Farms,My Dogs too Picky for this One
better than Pavlov's bell,"As soon as the can is opened I can feel two sets of eyes staring at me.
Each dog gets half of a can mixed with half can of dry Blue  Buffalo so
they get the best of both worlds . I rotate 3 or 4 different types and brands
of top shelf foods and the dogs seem to like the  occasional change .",73959,I did not realize that what I was purchasing was a real stew like product as I usually purchase the pate' style. I was not impressed at the amount of gravy included with this product. I add canned food to the dry food and usually can split a can into a couple of days feedings. That was difficult to do,By Whole Earth Farms,To much gravy
My dogs love it !,"This is the one moist dog food that they eat like no other.  I love the fact that it is grain free, quality, with limited ingredients.  Not only is it good for my dogs, but the ease of ordering with Chewy.com and the super fast delivery, make it much easier because it is delivered straight to my door",49199,"Too much jelly surrounding the meat in can, whereas other dog foods dont have all this jelly, I have to scrape off and throw out. Too pricy for all that extra jelly, but dogs like it.",By Wellness,"Dogs love it, but it has a 16th of an inch of jelly all around it that I have to scrape off, that I'm paying for."
This stew is perfect!!!,My 15-yr-old Old English Sheepdog is finally eating again! I have used Nutro forever and just started mixing this in so she might eat again.  She absolutely loves it.  Try this for your finicky dog!  So now I have this delivered right to my front door by the case. Thanks Chewy!!,86751,"I have a senior dog, Smokey. Going on twelve years old. He's a big guy, my Smokey. Half Lab, half Newfie. I thought I would change his senior food up a bit with chicken and rice rather than the beef and rice senior from Pro-Plan. He was not enthusiastic about this. He likes beef. Yes, he will eat this",By Nutro,Not overly enthusiastic
Results Oriented,"Creatinine level was cut in half after three weeks on this product. No, our dog does not like this food so we sparingly add a little something he does like such as sweet potato or broccoli. Our trust is in our DVM, whose doctorate thesis was in canine food. It is off putting that the ingredients are ",65064,"Our dog who needed Renal Support food, really liked this food for 8 days and then decided to not like it.  Now we're switching him to Royal Cannin, letter T.  As for the dry Pro Plan he did not lke it.  I think because he has some loose teeth and it was too hard to chew.  Two of our other dogs constantly",By Purina Pro Plan Veterinary Diets,Okay if Dog not picky
This was so Easy!,"We were having a difficult time finding our dog's favorite food in our little coastal town.  This worked out so well!  Then we were told that we would have to change the dog food to a Prescription dog food and again, very simple.",47675,"I liked your prices when I started but in a short time they went up by five or six dollars per item ... when you live on a small income it becomes tougher. Though I don't want to, I will have to look to see if I can find the same item for a few dollars cheaper or buy a less expensive brand.",By Iams,Disappointed in pricing
Weight Loss Delicious,"All three of my dogs have lost weight with this diet, used according to my vet's instructions. And they LOVE it...I add some string beans to this along with their Metabolic Kibble and they are completely satisfied!!",87468,I think it looks great and I know how good this product is helping our pets loose weight but non of my three dogs like it. I have to spruce up with regular food like Little Caesar and so out goes the diet aspect. Wish it would work. They don't care any longer for the regular Metabolic canned. Don't know,By Hill's Prescription Diet,dogs don't like
Soft food after dental procedure,"My beagle/bassett had to have dental surgery a couple weeks ago.  Eight extractions..yikes!! Needless to say, no crunchy food for two weeks.  Well this was a perfect alternative!",47673,"Chihuahua & Yorkie just don't like it. We've tried other foods as well, but so farx. They only like Cezars.",By Iams,Pets don't like it.
Dog really likes!!,"I bought this to replace the no longer available from Chewy -- Fromm canned dog food I had been purchasing for my finicky dog.    When I first opened the can I did not like all the liquid.    After the can is refrigerated the liquid becomes solid -- so less messy.    Most importantly, my dog gobbles ",120819,"Recommending with reservations; this batch (case) of cans literally has liquid sloshing around in the can. It's not gravy-like at all, just watery.

That said, it agrees with my German Shepherd and he likes it. The water content may be a fluke; I've bought this product before (off and on since 2015",By Instinct,Contains a lot of water
My dog LOVES this stuff,I originally had my dog on Canidae dry dog food but she developed what seems to be a tumor in her sinus cavity it got infected and was very sore before she started taking antibiotics & because it was so close to her teeth she couldnt chew the dry dog food & was not eating so I got the Canidae canned ,47023,"Well I've given it two shipments (10 cans each shipment). Neither of my dogs like it. It's mushy looking, off white color and doesn't smell good. So I guess that's why my dogs only eat it, when force to do so. I won't reorder again! I don't recommend it. I bought it because it said it help with gas and",By CANIDAE,Not Good! Dogs won't eat it!
I would have never bought a Purina product until this food....,"I have two mini schnauzers and weight, nutrition and health are very important to me.  After checking the Schnauzers Rule website and learning a few things about reading labels and how to decipher them I was really impressed by the way this product added up in benefits for my girls.  They enjoy it and",93786,"My dog seemed to really enjoy eating the Purina Beyond Turkey and Green Bean Recipe. However, I noticed on the three occasions I fed it to him, it gave him loose stools. I am thinking the gravy is too rich for his tummy therefore, I have stopped feeding this to him. My dog is a small breed so maybe he",By Purina Beyond,Not for My Pup!
AS A SUBSTITUTE,"Chewy.com was out of the Ultra Senior, the rep checked and found that the Adult Large Breed was very similiar to the Senior so I ordered a case.  The rep did not charge me shipping. The only thing that could have made it 100% is because they were out of Senior perhaps they could have substituted an item",48402,I ordered two cases and when I went to feed my dogs I opened the can and it was all gravy and maybe two or three little chunks of meat.  I had to go buy different food at the pet store.,By Nutro Ultra,Disappointed
My Dogs LOVE This!,My dogs love this! I started feeding them this brand & flavor a few years ago & it was the best thing I could have ever done. They are all healthy & their coats are very shiny. They haven't had an upset stomach from this food (both dry & wet food) & adjusted very easily to it. I only use the wet food,87363,"My husky wouldn't eat it. When he saw it, he looks like he is going to throw up. Opened one can, rest is still sitting there.",By Whole Earth Farms,"Good product, but my dog doesn't like it."
Basset love,My 2 basset hounds absolutely proplan wet food. The price is much better on Cheney than even at local grocery.,67640,My mom bought turkey and beef and I barely eat either of them. Paws down and her search continues.,By Purina Pro Plan,Nah........
Dogs Love It!,After finding out that my little Pomeranian had food allergies I tried many different types of food.  Finally I found Merrick and love that it is grain free.  After checking the ingredients I saw no poultry either.  Since she has been eating this food her skin has cleared up and she is excited whenever,47884,"I bought this as it is grain free and hoping because it is venison, it wouldn't trigger my dog's allergies. 
They aren't real keen on eating it however. I will keep trying different grain free foods for them!",By Merrick,My dogs didn't care for it.
Buy in bulk!,"This brand is a staple in the house for kibble and canned food. This flavor is a hit for our Doberman and Weim. I have bought this brand for 2 years, but this flavor is a more recent add to give variety to meals and they love it!",94006,"Must be different from the black/brown label cans, which the dogs loved, I can no longer find!",By Hill's Science Diet,Dogs refuse to eat it.
Breakfast and Dinner Toppers,Great size to use as a topped to mix with dry food - my pup loves to gobble it down,86740,Blackie hesitantly tried it a few times and then would not eat it at all. i am donating the rest of this to the local shelter,By Nutro,Nutro beef and potato
Great Customer Service,I had recently placed an order and didn't realize the shipping address was wrong until after I hit submit. When I called to get it fixed the representative was very helpful and friendly and even saved me some money by combining my orders.,63386,Ordering was easy and shipping was fast.  I know this is a good quality dog food but my 8 year old chawhennie HATES it.  I order a whole 24 cans based on a sister giving me some from her dog.  She refuses to even smell it and went 3 days without eating.  I have had to throw away 2 cans and have given,By Royal Canin,I have a very Picky dog
Sensitive tummies,"This has been a lifesaver for us! I have a yorkie with an digestive disorder and can only eat pate style food. He also has acid reflux and the oatmeal in this recipe is very calming on his stomach. Ordering from Chewy.com is great, my cases of canned food no longer arrive crushed (the way they did from",86747,"We were running low on my collie's Chicken, Rice and Oatmeal recipe, and learned that there was an ingredient change. Despite Nutro telling us only one ingredient changed (from whole grain oatmeal to sweet potato), there was more than that and my dog isn't a fan. We've started transitioning to Merrick",By Nutro,Dog doesn't like new formula
Best canned dog food,"My golden retriever has always been fed blue, I switched her to blue Freedom I put a few spoons of the canned to give it the extra taste so she would eat it it works out great she is 3 yrs old and eats 1cup dry lamb blue Freedom and 3spoons of the canned she is in wonderful health. I strongly recommend",75703,I guess its ok but my dog doesn't like it very much.,By Blue Buffalo,Hardy's beef grillers
He really likes it,It won't last through the month anymore.  He really likes it.  I have to put it witha dry food so he will eat more slowly.,67576,She will eat it but she doesn't finish it off she leaves about a tenth of it in her bowl and doesn't come back to get the rest.,By Purina Pro Plan,Something is lacking
Love Chewy.com,Everything in my order was perfect.  My second time using you and am so happy with it.  I spent more time running all over town trying to find enough of the Beneful tubs to feed my 105# baby for a month.  That is what he likes.,100171,"Had hoped Kali would like this food, but she is refusing to even taste the this brand of food!
Guess I will donate them to the Green Valley Animal League upon our return to Green Valley.
Guess we will start purchasing one (1) can at a time to determine what the little lady will eat and like",By Purina Beneful,"Selected the wrong canine food, once again!"
my dogs go crazy,I was having such a problem getting my dogs to eat there food but adding this to the dry food with just 1 teaspoon they devour it!!!!,89574,We have been feeding one of our dogs this food ever sense our vet started carrying the mix. She has Cushings. Her gas make our eyes water. Her poop stinks. With this order we are mixing the JD and metabolic our selves. Within 2 days her poop and gas smell is back to normal.,By Hill's Prescription Diet,Stinky farts
They sure love it!,"No complaints here on this product. Both dogs love it !   My  Puggle has a sensitive stomach and has never gotten sick after eating it now over a month, and heartily eats her food  since mixing this with the dry food. Highly recommend!",67776,My dogs refused to eat it. I even tried to trick them by mixing some hot dog in it. They carefully picked out the hot dog & wouldn't touch this food. I had to get rid of it. Waste of money.,By Purina Pro Plan,Dogs refused to eat it & I had to get rid of it.
Our very picky eater,Our very picky eater loves this flavor.  That is saying something because she will go without eating most food brands and flavors.,100064,Too big of can for me. This one is too heavy and it takes a good can opener to open. I like the pop tops better.,By ALPO,Product is good
Great for Senior dogs,my dog is pretty fussy and he really likes this.  I wish they made it for overweight dogs too since my other dog has a weight problem,48382,The high fat content kept my dog begging for food. Gaining weight. Not satisfying at all. We buy 3 cases per month and he has almost gone thru it all in half the time. We will be switching back to his Nutro Healthy next month. I do not recommend for older dogs.,By Nutro Max,Not a good choice for Senior Dog
Awesome!!!,Dogs luv this! I mix it in with the dry purina one and they really enjoy their dinner! Having Chewy ship right to the door a day after I order is the best. And their prices can't be beat.,103726,My dog noticed the dented cans even before eating the food {HA HA]. 1 in each set of 6 cans was dented.,By Purina ONE,Dented cans
Puppy Loves,My 5 month old puppy loves this canned food along with his Puppy Chow. He recommends this wonderful tasting Blue Buffalo canned food for puppies all over the world!,84152,"I am giving this service a second chance, but if 8 of the cans from the twelve that I order are damaged, like this case I received, I will no longer be using this website.",By Blue Buffalo,Can conditions
Chrissy's favorite,We have finally found a meal that Chrissy eats right up!  Note ~ we traveled extensively out west to and from Alaska this summer.  This meal and all of Nutrish items difficult to find.  Stock up before traveling if you travel that way!,55443,"My dog seemed to like this for a minute, but then he turns his nose up at it now. It could be that he is just a picky eater...otherwise I love these products.",By Rachael Ray Nutrish,Rachael Ray Nutrish Natural Chicken Muttballs with Pasta Natural Wet Dog Food
This is a good topper,"I didn't realize that this canned food is actually a topper for a week. It's written it such small print, it's easy to miss. Now I mix it with the Honest Kitchen's grain-free base food and my dogs love it and I know it's nutritious. The reason I chose this food was because it was listed on Project Clean",49195,"Used to love this, as did my pups, but the formula had absolutely changed and it is awful. The pups don't even like it anymore. This used to have a good amount of gelatin but that had been replaced by pure fat.  This not only makes it like concrete if it has been in the fridge, it also makes it much ",By Wellness,Not the same!
our dog loves Merrick's 96% line,"Our dog, Sarah, just loves Merrick's 96% line.  We rotate a different flavor every day.  She always eats every last bit of it, which has not been the case for other foods.",47859,"Previously the Merrick 96% Real Texas Beef was just chopped up beef in a can ...
now it's a pate, like a spreadable paste & my darlin' is disappointed .",By Merrick,'sbeen changed
Love this food!,"This food is great! It smells amazing, like you were cooking a stew of some sort on the stove. My puppy would rarely eat, or at least we had a hard time getting her to, but when we added this to her food she couldnt wait to eat, as soon as she heard the food being poured she was ready. We have a little",63832,My dogs both love the Pure Essentials venison but don't seem to like this flavor.  There's absolutely nothing wrong with the food.  The dogs just don't care for it.,By Nature's Recipe,My dogs don't particularly like this one
This is awesome!,"My dogs have been on a metabolic weight management diet for a few months and they were not fond of it, so with their doctors  approval I changed their diet to the light food. The food is so moist there is no comparison. It is  so much easier to mix this can food with their dry food any day.",48975,I think the product is very good. She does not like it to much,By Hill's Science Diet,My dog does not like it at all She has been going to poop several times a day very loose
Dogs love it with their Dry!,"Using Rachel Ray dry food for both our small and large dogs, but they're spoiled I admit, and they always want something 'good' mixed in for flavor....so now I'm using this, and it lasts for 2-3 meals!  Really nice big chunks of meat, and even can be warmed up a bit in the microwave - good purchase!!",55444,Have been buying Rachael Ray brand for over a year since we got our dog.  I even switched the cats over.  I was buying the variety pack of wet food to supplement his dry food.  I do the same for my cats.  He loves them so I bought some of the Chicken paw pie for the cats.  Great product.  So good that,By Rachael Ray Nutrish,Chicken? Or not!
It works wonders!,"It has helped my dog to eat healthier, I had no idea what food to choose for my dog to lose weight, then I found this one and it has worked so far, I mix it with the same but in dry food, she gets picky with the dry food but she has no problem with the can so I rather mix a little of this can with the",52029,"I think even dogs know the difference in regular foods and weight management foods. This is probably a good food but my dogs turn their noses up at it, that's the only reason I gave a 3 star rating. I do like the wellness brand though.",By Wellness,weight management
Great for appetite,My little 13 year old sheltie girl with kidney and liver problems loved this until the day she died. It kept her physical wasting to a minimum.  Sadly age and a stroke took her but seeing her appetite remain in contrast to her two older brothers with KD was a real gift.,91075,"My dog refuses to eat any of this food, wet or dry.  It must be horrible because she has always been a pig when it comes to food.",By Hill's Prescription Diet,"Apparently, no flavor"
Blue Buffalo Sunday Chicken Dinner,My dog can hardly wait for Sundays! I specifically ordered it for Sunday.  My daughter in NY let me know about her dog luvving it so I had to give it a try.  Thank You guys for making my doggie HAPPY.,51804,"My westies' don't particularly like this type of texture. They prefer solid. However, it is packed with peas and potatoes. if I feed it alone, they eat it better. I always mix the can food with their dry food.",By Blue Buffalo,My dogs have been eating blue buffalo for a long time.
Happy senior,My senior chi needed to be switched to soft food. He also has heart disease & is on a low sodium diet. After much research on wet foods & their sodium levels this was by far the lowest I found & perfect for him.,48955,"My dog who eats almost anything will not eat this at all. He's never refused to eat any dog food except this. I've tried everything I can think of to get him to eat it and he won't go near it. 

He does love Hill's Science Youthful Vitality canned food and the Mobility dry food but he gives me dirty",By Hill's Science Diet,My dog hates this
She loves this food!,I have tried so many canned dog foods for KK only to give them to neighbors.  She loves this dog food!,60624,I was hoping for a better reaction from Willow who is the one eating this food. Her reaction was somewhat tepid at best. I won't be buying it again. Not because I don't think it is good food (it looks good and it smells good) but because Willow did not really care for it.,By Nutro Max,Willow says it's ok
whole pack likes it,"I have 7 dogs, mostly elderly and one that has a poultry sensitivity.  I use this an an occasional supplement to raw/homemade diet.  No poultry and even the most elderly of my dogs who takes medications that mess with appetite love this food.",73953,"Yes my GSD is a finicky eater, she wouldn't eat her dry food so I tried canned food to mix it together, I had tried a different brand a more expensive brand she ate it for a while but turned her nose up after a while so nmow I'm giving her this brand and so far she loves it. I've tried the turkey and",By Whole Earth Farms,For a pickey eater!
"I Liked the Label, Dogs Loved the Food","I find that all of this line of Blue Buffalo's canned foods are a hit with my sister labs. I can't detect that they love one more than another, so I order several different recipes so they don't have to eat the same thing every day.",46821,My dog likes this food occasionally.  It looks and smells desirable. Still searching for a home run,By Blue Buffalo,Blue's Irish lamb stew
Happy puppy,"My Golden Retriever had digestion issues. We tried 3 different foods for her, including a prescription formula kibble.  We found Canidae 10 ingredient kibble and it solved her issues within days.  After a month on that, we tried this canned food as a tasty addition. She loves it and it didn't adversely",51416,"Hello Chewy world!
If your dog needs baby food, this would be a good fit. 
My Toy Poodle would not eat it. The food is too creamy, mushy, but may not have been her choice of flavor, since this was the first time we had offered her lamb. It has a noticeably different smell and she just refused to try",By CANIDAE,If your dog needs cream food...
Sally says Nommers!,"I made the mistake of deciding to add some canned food to the dry food for my dogs for variety.  Now my pit mix, Sally, is spoiled.  She eats only the canned food and leaves the dry food behind...lol.  She has Valley Fever so now she will be getting just canned food.  She is seriously loving this brand",67579,She loves this one. Ate the whole can and licked the bowl clean.,By Purina Pro Plan,Really tasty
Best food ever!,My pup loves this food! Its low in fat witch is great since she has pancreatitis and can not process high fat foods. But this food gives her energy and she just loves it! Its cheaper than prescription diet food and i think healthier for her since the ingredients are way better!,75743,"My dogs didn't really go for this flavor. They picked at it and ate some of it, but there wasn't much enthusiasm, and they didn't want it again.",By Blue Buffalo,Not so much
"Royal Canin , ""The Best""","We had adopted an 84 days old  ""Bichon Poodle,"" Rachael, born Aug 22, 2002 was the sweetest of sweet little girl dog.  However, in 2009 she became very ill with gailbladder problems.  The veterinarians took a pro active approach vs surgery and we started using prescription  Royal  Canin vegetarian and",99652,"My dog turned his nose up at this dog food, I expected a much better product for the price.",By Royal Canin,seen better!
So Far So Good,"My furry friend, a 12Y old Malti-tzu, has suffered with IBD for several years now and digestive issues have become more frequent lately. The Great Vets that are treating him wanted to see if an illumination diet would help with his issues. I made the transition (At their request) with the Hill's Prescription",69747,"The vet prescribed this food for my Jack Russell Terrier for his problem with prolonged loose stool.  I was skeptical that he would eat it only because he always has been a very picky eater, and we had no luck with him eating other prescription food.  Much to my surprise, he ate it.  For the first few",By Hill's Prescription Diet,Product texture and taste varies from prior cans.  Dog will not eat
Dogs needing low fat diets,"Great food for dogs that are on a low fat diet. My terrier mix has belly issues. Does well with this food. Also he likes the taste , very important. Chewy offered his food at a wonderful price, and  delivery, to my door. Free delivery at that, due to my order. Excellent all around.",48969,"I gave this product 3 stars because my dogs have been on it their whole life and are very healthy.  Also, it is ""vet recommended"".  However, I cannot get past the consistency of this food.  It is more like a ""paste"" than anything else.  It is disgusting because it sticks to the spoon, sticks to my fingers",By Hill's Science Diet,Science Diet Beef and Barley Entree canned
Fussy eater attacks this,"This is a good wet food addition, our dogs really like it. One is a very fussy eater, but she really attacks this when added to her bowl. We need a quality canned food at an affordable price, and so far, this seems to be great.",91513,"My dog has enjoyed this food, its healthy brand for her.",By Purina ONE,this product is nice but my dog likes a variety of flavors.
It's a winner!,"My 16 year old Lab was diagnosed with kidney failure over four years ago. He's been on prescription dog food ever since. As he has aged, he sometimes is slow to eat. But when I changed to this new formula of prescription food, he doesn't hesitate to gobble it up! As for this company, I wouldn't do business",90673,Royal doesn't have treats with low or no protein in it so I tried to make some out of the wet food but it is too wet so either come up with a treat or make the wet food a little dryer,By Royal Canin Veterinary Diet,Royal canin renal support
A Great Experience,I cannot believe how much time and physical lifting I saved. The food is about the same price as at the store but I did not have the hassle of finding enough food to last and I did not miss hauling the food to the car then into the house. All around this is the smartest move I could have made. My German,114229,"My Chihuahuas just won't eat this, even if mixed with a food they do like.  Sorry Pedigree!",By Pedigree,My dogs hate this!
Dog likes this,"Having trouble finding a hypoallergenic food my cocker will eat. Argh.
However, she is liking this! Yea!! I have tried so many others of several brands. She did like venison w sweet potato,  but this was discontinued and I refuse to feed a food w mostly sweet potato which the current version is. The",84868,"My dog did not leave a trace of this food in her bowl at mealtime. My 3 star rating is based on the damaged cans. I'm not sure how the items are packaged at the warehouse but the damage did not occur during shipping. Every can, even the interior ones had significant dents. So much so that it was a challenge",By Natural Balance,"Food was fine, every can in the case was severely dented"
Great for sweet potato lovers,My crew love sweet potatoes so are up for anything that has them in it. I feed grain free to all 8 of my dogs because some do have allergies and sometimes they eat each other's food. This soft food works for the older dogs that have a harder time chewing kibble without making their bowel movements too,67786,"This canned food is very good in that it contains no grain and is only made from meat and vegetables.  But like every other product that is ""healthy"" for you or your pets, it costs significantly more than the ""unhealthy"" products.",By Purina Pro Plan,Good But Too Pricey
Helps get the pills down,"I buy this product to help get the pills down. Four of my dogs require medication.  I have found that by hiding their medication in a small (meatball) of wet food, they take their pills first then continue with their kibble.  My Rottweiler is finicky and she prefers Pro Plan Grain Free to other wet food",67780,I have a dog allergic to most things. I put this on top of his grain free Duck dry food so that he will eat it.,By Purina Pro Plan,Does the job
Totally amazed!,I have been vegan for 11 months and had no plans to transition my dogs. They all have varying food sensitivities. I bought a case of this just to prove to myself it wouldn't be an option for them. The first day I fed them a few fingers full of it and they went nuts! They ended up eating the whole can,48016,"The dogs love this food. All three of them eat every bite, but the consistency of the food itself is a paws down for me. It's very thick and gummy, not like a meat based pate at all. It's very hard to incorporate into the dry food especially if you have arthritic hands. Seems like it has a very low moisture",By Natural Balance,Good Product Bad Food Form
Extemely Happy,"For our first time ordering from Chewy.com and ordering a prescription dog food, we had our order within 2 days even after having to have Vet approval.  Which I will mention with a RX dog food you even took out the guessing game for the Vets information by adding the zip code and vet's name and up came",65068,"Put my dog on the same amount of food, only replacing it with proplan diet and in 2 weeks he gained 1/2 lb  Will finish the case and see what happens",By Purina Pro Plan Veterinary Diets,weight loss?
Good quality and my dogs love it,"I use this good as a topping on weight management hard food. It has meat and chunks of vegetables as well as just enough gravy to keep it moist so you are not paying for gravy.

I would not use this as their only food, it's too rich and expensive. One tub holds 8 oz's. I feed 3 dogs 3 meals, or a table",55410,"My puppy who eats about anything turned up his nose at this food. After 
I dipped my finger in to sample, it was tasteless.",By Rachael Ray Nutrish,Tasteless recipe
"2 Paws up, the poodles LOVE it!","I have 2 standard poodles, sisters, one has a sensitive stomach-one doesn't. This food is perfect, they both love it and the yard clean up is never messy!
No problems with the sensitive stomach.",48010,"Latest shipment had several dented cans, but no visible damage to outer shipping carton. Also the packaging of the dry kibble is not Customer friendly. Hard to open and reseal...there are much better packaging methods available.",By Natural Balance,Can do better
Our new rescue German Shepherd loves this!!,We recently rescued a very neglected German Shepherd who was very underweight and I introduced this beef roll to her diet by dicing up 2 inches worth and adding it to her kibble. She had already gained 5 pounds in the past 2 months. She loves feeding time and cleans her bowl every time.,76576,"Apparently Del Monte has changed their recipe for the natural balance beef food roll.  Whereas I was able to dice it before, the food roll is now too moist and sticks to my knife when trying to cut into it.  I wish they would have just continued with the recipe for the original roll.",By Natural Balance,New recipe
PHENOMENAL FOR TREATS,"My dog's trainer cuts this up and uses it as treats and the dogs go crazy for it! You need to keep it refrigerated but I usually just cube it up, put it in tupperware, and pull it out for training sessions. It's great because you really get a lot for your money and the soft texture is better for training",60802,Took a look and ran the other way he hates it  don't recommend for finicky eater,By Redbarn,Hates this stuff
R/D Diet Canine,"An excellent food for reducing unwanted weight.  Takes a few weeks to see results, but stick with it!",69783,will search for a different food within science Hills diet,By Hill's Prescription Diet,the food is stiff and not smooth at all
Quality Product,"Have been buying Whole Earth brand for the last year or so. My Shepherd mix had health issues as a puppy so I went through lots of food reviews to find  good, high protein, immune-building brands. I liked that this is a Merrick product (which I had been feeding her) but is lower priced. Grain free, no",87359,Bought a case. Dog did not like it. Then autoship sent another case 5 days ahead of shipping date so I could not cancel. Stuck with two cases. Gave to dog shelter.,By Whole Earth Farms,Sounds Good ! Dog won't touch!
Happy fur mom!,"I have extremely picky eater rescue year old  pup named Bo. I rescued him about a year ago. At first he inhaled everything that I put in front of him. Once he got comfortable and realized he is safe now he became very picky eater and would not eat much or starve himself then eat a little, I have changed",86754,My dog.loves it easy serve natural product rinse out and recycle,By Nutro,My dog loves it!!!
My terriers love this mix,I've been struggling to find a food that will not set off my one Am Staff's allergies.  The Merrick line and this esp. seems to be the ticket.  Both of my large terriers love this food and all Merrick in general.,60619,"to be honest i use this as backup food for the price it is cheaper to buy ground beef and bag of veggies, cook them and freeze the extras then it is to keep buying these cans.",By Merrick,use as backup food
Amazing product,"Highly recommended natural balance canned and dry food... my Shiba Inus love this food and never have any issues with it. When puppies are old enough to eat the canned food, this is the only brand I've found that they love without any allergic reactions.",50604,"This seemed like a nutritious and tasty product, my dog tasted it, but.she will not eat it.",By Natural Balance,Natural products review
Great chow at a solid price,"My picky poodle came home with me on a Tuesday afternoon. She turned her nose up at her gourmet hard dog food. Out of desperation I asked my neighbors on Saturday morning how they got their Westie-Poo to eat. This is the secret: mix in a heaping cereal spoon of the Nutro stew with the hard food, microwave",86709,My dog tried it for a day and snubs it off now. I purchased it because they were out of my typical food. Bummed. I'm going to donate the rest of the case to a local pet adoption center.,By Nutro,Dog not a fan
SAVED MY HOUNDS,One of two of my beagles had stopped eating his dog food.  I ordered this and the adult healthy dry also.  And both of my beagles gulped it down with wagging tales.  They both have more pep in their walks and run to the kitchen for meal time.  Love this stuff.,84158,"Neither one of my dogs liked this food, which is odd since all they have ever eaten is blue dog food. I would recommend buying one can before you order a case of it",By Blue Buffalo,Poochie NO likie
Picky Eater Approved!,"Of all of our pets, Scooby is the pickiest. She loves treats and to steal table food so her dry food habits are terrible. Luckily, she is not as picky when it comes to treats. I have bought a few kinds of canned wet dog food in the past that she turned her nose up to, though, so I am always nervous as",49076,My Chihuahua's are very picky eaters.  They ate the Taste of the Wild dog food but only because they had no choice and waited until 10PM before they ate each day.  I think I'll have to purchase another brand and switch every other day.  I like Taste of the wild dog food for my Chihuahua's because this,By Taste of the Wild,Picky Chihuahua's
Excellent!,"My dog loves this, he's a Boston Terrier and has to have me puree it because of his small teeth.",93784,"After having bought multiple cases of the wonderful Turkey & Green bean version of this, I bought a case of this Chicken & Sweet potato. The SMELL of the chicken version (despite LOOKING identical to the other), can only be described as the worst bad breath smell you can imagine. Opened multiple cans",By Purina Beyond,"Very VERY bad smelling, Chicken version BAD, turkey excellent"
Our Dogs Love This!,Our two Irish Setters love this food!  We only buy Nutro Chunks as far as canned food goes.  Love getting it through Chewy.com.  It ships fast and the packaging keeps it fresh!,86752,"I've been feeding my puppies Nutro lamb and rice puppy dry and wet food since they were 5 weeks old. I had always purchased the lamb and rice ""loaf"" vs chunks. I have recently switched them from puppy to adult formula, and tried the lamb and rice chunks. They have not been crazy about the switch. Going",By Nutro,Just ok
Yummy! I like!!,"Thank you for this product.  My 2 dogs have eaten Pedigree canned &
 dry dog food for years.  This time I tried the chicken/lamb and they
 liked the flavor and I will order this item again.  So many choices!",114185,My dogs don't care for the Pedigree Choice Cuts........will not buy it again,By Pedigree,not so much
Chewy dot com - thank you!,"Right now I am house-bound due to a serious back injury. Shopping was going to be a nightmare, I thought! Well, for our littlest family member, it has been a breeze! His Purina Beneful food came in today along with 2 packs of treats -- and I only ordered them two days ago! I am so impressed with the ",100177,"This is full of items that are bad for your dog. Wheat?, meat by product ( look up ""by product"" but not after you eat. Yuck.",By Purina Beneful,You have to look at ingredients
Perfect food for small dogs,My havanese is a VERY picky eater and she loves this food. She will also eat the dry Natures Recipe but prefers the wet. Another huge plus is the addition of pumpkin. This has solved her long standing anal gland problems. What could be better than that!!!!!,63834,My senior dog ate this for a few days then started refusing it.,By Nature's Recipe,Dog refuses to eat it
Nice and Stinky! :-),"My pup Scout isn't picky when it comes to wet food, but we tried this today and she wouldn't stop barking from the moment I took off the lid, mixed it into her kibble and until I put it down!! She was super excited and loved this wet food! We will continue to buy other fun flavors for her to try :-)",47873,"Dog likes it, but the smell was terrible. Made the whole house stink.",By Merrick,smelled terrible
My dog loves this!,"I usually don't buy 'chunky' canned food but thought I'd give this one a try - it doesn't have chicken in it, which my dog is allergic to - and he can't get enough of it! Will buy this one again.",68362,"I was rather disappointed in this stew brand. I opened the can and it was dark gray gravy not good looking at all. But Roxie is eating it as long as I mix it with something else . There is no veggies in the can . If you want people to buy your product please make so pets will like and eat, very disappointing",By Nature's Recipe,Dog food disappointed
Yum Yum Yum Yum,I have fed this as a mix in for my dogs for years. They all love it. I have 7 dogs. All different breeds.,52788,My dog is sensitive to barley. Also ingredients not clearly marked.,By Hill's Science Diet,Contains barley
